uid,articles
u107003,"[324403, 324712, 323798, 322720, 323227, 471427]"
u103877,"[321965, 322008, 322869, 322386, 322576, 473013]"
u101089,"[6417, 5799, 7711, 5860, 7831, 487786]"
u106858,"[323397, 322783, 323302, 323632, 323285, 689]"
u108494,"[2905, 1784, 3212, 689, 1036, 324199]"
u105353,"[293596, 292846, 294444, 294083, 295314, 1576]"
u103509,"[322264, 323224, 323847, 323148, 324748, 530405]"
u101938,"[6187, 5807, 6543, 5466, 6407, 513140]"
u104489,"[323116, 324390, 324714, 323555, 324684, 473138]"
u104293,"[322784, 321869, 322815, 323652, 323678, 473160]"
u102159,"[7728, 5356, 4969, 5048, 5279, 513309]"
u104844,"[322711, 323209, 322961, 321960, 323676, 472930]"
u107107,"[323169, 321880, 323054, 323194, 323292, 470720]"
u108391,"[3566, 1371, 2401, 1036, 3175, 322159]"
u103568,"[324054, 322111, 323697, 322574, 322182, 473020]"
u106481,"[324688, 323783, 323018, 324605, 323789, 1045]"
u101290,"[6678, 6789, 7667, 7046, 6483, 487566]"
u107401,"[324506, 323583, 322022, 324609, 322764, 474760]"
u108983,"[3305, 1083, 2197, 1688, 2560, 322333]"
u102663,"[5113, 6007, 7887, 7300, 5955, 487186]"
u102035,"[5083, 7252, 5060, 6578, 6522, 488230]"
u104877,"[322730, 323585, 323703, 321988, 323095, 513766]"
u103019,"[324653, 323762, 324644, 323825, 322102, 472659]"
u105990,"[294035, 293076, 292925, 294284, 293597, 2200]"
u108018,"[2485, 1041, 1714, 1000, 1276, 324696]"
u106634,"[324133, 322808, 324034, 322789, 322489, 2865]"
u106152,"[322499, 35, 323635, 322519, 322696, 1182]"
u105382,"[293298, 292852, 294972, 290102, 294107, 3329]"
u101390,"[7582, 5090, 6147, 7257, 5822, 495546]"
u107438,"[97, 323978, 323518, 324172, 321975, 471931]"
u101461,"[6271, 7167, 6547, 6884, 7226, 512759]"
u103969,"[324001, 323062, 323786, 322791, 323704, 472925]"
u102441,"[7744, 5821, 5684, 6221, 5420, 487301]"
u106240,"[324187, 323080, 322233, 322636, 321987, 657]"
u105105,"[293893, 293639, 295362, 293743, 294991, 1001]"
u108310,"[3430, 623, 3263, 2728, 845, 323053]"
u101283,"[6142, 5364, 4903, 6293, 6459, 488272]"
u104243,"[322408, 323034, 43, 324707, 324637, 473095]"
u108286,"[3043, 3195, 2791, 1854, 1447, 323859]"
u104307,"[322838, 322747, 323216, 324304, 324679, 473062]"
u106416,"[323644, 322603, 324646, 323913, 323261, 1386]"
u102077,"[5158, 6906, 7643, 6689, 5869, 487163]"
u108402,"[2023, 2314, 2360, 1831, 3383, 324362]"
u107193,"[322699, 324435, 322416, 322780, 322490, 343]"
u103166,"[323041, 323250, 322043, 323933, 322957, 474224]"
u108214,"[1515, 3566, 2436, 2098, 904, 324755]"
u105516,"[290069, 293729, 292933, 290224, 292981, 1676]"
u101932,"[6022, 6206, 7639, 4989, 7811, 512806]"
u108620,"[3051, 685, 946, 3487, 2357, 323207]"
u108170,"[3380, 3146, 2666, 2882, 840, 324626]"
u106823,"[322032, 322327, 322829, 323269, 324072, 1055]"
u106082,"[322893, 324409, 322557, 323339, 321907, 1150]"
u101073,"[5018, 7877, 6810, 5552, 5864, 488172]"
u102525,"[5852, 6125, 7605, 6547, 6687, 487597]"
u107695,"[323255, 323229, 324267, 322804, 323102, 470890]"
u106700,"[323232, 323403, 323818, 323591, 323473, 2093]"
u107479,"[324660, 324741, 322646, 321886, 324394, 472162]"
u105894,"[293463, 293313, 295241, 293436, 295087, 1776]"
u105274,"[294795, 293272, 294066, 293962, 295121, 2658]"
u101686,"[7104, 6484, 5045, 6732, 7321, 488160]"
u104919,"[322724, 322536, 322329, 322273, 323013, 473021]"
u108390,"[1855, 1317, 2053, 1089, 3319, 323440]"
u103162,"[323300, 322163, 322889, 322311, 322471, 473832]"
u107023,"[322823, 323112, 321976, 322614, 323655, 470801]"
u104118,"[322173, 322307, 322222, 324270, 323932, 529839]"
u106147,"[322360, 323227, 321918, 322268, 324022, 1103]"
u104496,"[322312, 323719, 322358, 322352, 324308, 473418]"
u108435,"[1536, 2658, 2317, 610, 1006, 324473]"
u108213,"[2751, 3130, 2010, 1857, 1678, 323254]"
u108186,"[3440, 842, 1216, 2014, 1121, 324035]"
u107938,"[323631, 322124, 324117, 323331, 324184, 471813]"
u107252,"[324158, 324512, 322748, 322714, 324630, 471005]"
u106532,"[324034, 324644, 324415, 322637, 322566, 761]"
u102150,"[7206, 7311, 5327, 6312, 7887, 495269]"
u108143,"[2829, 2984, 1999, 3363, 3387, 322369]"
u104038,"[323187, 321903, 322726, 322969, 54, 513143]"
u104873,"[323222, 322676, 324207, 322111, 324649, 473786]"
u101099,"[6740, 5749, 6111, 6428, 5862, 487507]"
u101985,"[4952, 6517, 5163, 6861, 7701, 513214]"
u105810,"[292893, 290097, 293328, 292903, 292761, 2456]"
u108567,"[1730, 3353, 604, 1585, 2067, 324051]"
u101236,"[5879, 6266, 5935, 5436, 6872, 487860]"
u103822,"[323215, 324042, 324715, 321875, 324105, 473739]"
u106169,"[322123, 323093, 324749, 323352, 324177, 796]"
u107318,"[322808, 322772, 322801, 323955, 82, 471889]"
u101843,"[7714, 5366, 6552, 5837, 6118, 487887]"
u106419,"[323374, 322770, 323181, 322586, 322407, 2577]"
u107984,"[323319, 322561, 323005, 324089, 322706, 471168]"
u102654,"[6715, 7083, 5289, 5772, 4936, 512847]"
u105734,"[293927, 294235, 293799, 293155, 294851, 933]"
u105519,"[294747, 292720, 294841, 293817, 292680, 2902]"
u108146,"[1012, 1525, 3257, 622, 2862, 323985]"
u101094,"[5752, 7798, 4975, 5225, 7152, 487979]"
u108783,"[3201, 1000, 3088, 2652, 1770, 321973]"
u105759,"[294920, 294724, 294354, 295373, 294204, 2006]"
u105753,"[293508, 294856, 290071, 292990, 293946, 3309]"
u106424,"[322359, 322589, 323457, 323415, 324439, 1160]"
u104779,"[323946, 323417, 322403, 322988, 324116, 473583]"
u106105,"[324420, 324101, 322500, 323145, 324304, 1656]"
u103566,"[322037, 322376, 323009, 323927, 323297, 473097]"
u102689,"[7540, 5277, 5921, 7881, 6488, 487124]"
u101047,"[6372, 6408, 7202, 6637, 7778, 487357]"
u105317,"[295345, 295256, 292906, 293834, 294748, 3358]"
u104583,"[322999, 324280, 324349, 323046, 324401, 473013]"
u104975,"[323056, 322177, 322623, 324612, 322936, 533413]"
u106741,"[321893, 324056, 322240, 323804, 323298, 3348]"
u107297,"[323073, 323390, 322739, 324378, 322761, 471922]"
u104586,"[322097, 323072, 324316, 321987, 322618, 472700]"
u108289,"[1199, 749, 3044, 1741, 1349, 324613]"
u103206,"[323937, 322192, 321930, 322298, 324657, 474080]"
u106615,"[322158, 323226, 324521, 323732, 323734, 2728]"
u107374,"[322561, 323840, 323491, 321955, 322957, 471193]"
u102136,"[5291, 7443, 7312, 7656, 6498, 495306]"
u101575,"[7314, 5998, 5910, 5510, 5136, 486897]"
u104878,"[322957, 322207, 323667, 323854, 323557, 472938]"
u103304,"[322223, 324460, 322661, 324494, 323414, 473993]"
u105192,"[293495, 294725, 294785, 292789, 295026, 2257]"
u106162,"[322068, 323192, 323321, 322956, 324044, 1344]"
u105674,"[293313, 294055, 294728, 295016, 294068, 717]"
u102432,"[7070, 7459, 6304, 6523, 6366, 488052]"
u104139,"[322669, 324253, 323820, 321940, 322003, 531437]"
u105112,"[293718, 290134, 294522, 292719, 294110, 1163]"
u104499,"[322874, 323324, 321953, 322306, 324508, 473237]"
u104587,"[322787, 321997, 322756, 323255, 322638, 529563]"
u104062,"[323856, 324594, 323007, 323535, 322756, 473697]"
u106063,"[323568, 74, 322737, 321856, 322777, 730]"
u102971,"[5659, 6450, 7529, 7697, 7424, 487295]"
u101497,"[6739, 6042, 6429, 7397, 6563, 512694]"
u107467,"[322503, 322736, 321986, 322207, 323994, 471141]"
u106554,"[323368, 324256, 322519, 322315, 322997, 1913]"
u102753,"[5930, 6018, 7708, 7143, 5738, 487919]"
u105702,"[293958, 292680, 294368, 295257, 295025, 2557]"
u106575,"[324578, 321964, 324685, 324518, 322150, 2922]"
u108909,"[2798, 3001, 2720, 3545, 3258, 323146]"
u103791,"[323723, 321904, 321878, 322934, 323222, 512936]"
u102945,"[6103, 5625, 7529, 7194, 6282, 487583]"
u105546,"[294181, 294006, 293116, 292618, 294230, 3491]"
u101318,"[6413, 5943, 7672, 5485, 5996, 488351]"
u106040,"[83, 323073, 322030, 323350, 324595, 1348]"
u104384,"[323842, 323098, 322349, 322905, 101, 473704]"
u106758,"[323166, 323800, 323480, 324683, 322768, 3508]"
u105973,"[293665, 292956, 292903, 293872, 294558, 792]"
u102243,"[5298, 7517, 5318, 6843, 5013, 488003]"
u108104,"[2410, 2831, 2857, 668, 3355, 96]"
u102478,"[5210, 6113, 6766, 6196, 6833, 486960]"
u101302,"[5863, 7176, 5717, 7103, 5725, 487381]"
u104045,"[324366, 322937, 324019, 322273, 322491, 473428]"
u107537,"[324738, 324495, 323827, 322051, 323269, 474832]"
u103698,"[323591, 322389, 323626, 321962, 323133, 473673]"
u108947,"[2671, 1689, 3234, 1589, 3112, 324406]"
u103360,"[323955, 322801, 323131, 324312, 322453, 472421]"
u104695,"[322257, 323666, 323172, 324720, 322965, 530588]"
u104446,"[324703, 82, 322552, 321999, 324149, 473047]"
u104131,"[324089, 322247, 324616, 323888, 323265, 472689]"
u106563,"[323319, 322894, 322273, 322484, 323379, 1513]"
u103345,"[324707, 322660, 324235, 322765, 323199, 474133]"
u106546,"[322993, 323014, 322547, 322274, 323751, 2478]"
u103929,"[324601, 322416, 322441, 324741, 322147, 472945]"
u104179,"[324175, 323712, 323507, 324639, 323922, 472425]"
u108627,"[1218, 1804, 689, 1239, 907, 323055]"
u104657,"[324255, 323597, 322986, 323267, 324301, 473340]"
u107130,"[323498, 321855, 324058, 321901, 322477, 470536]"
u101375,"[6873, 6146, 6429, 6071, 5848, 495343]"
u104251,"[324268, 322230, 322894, 323964, 322647, 473297]"
u101522,"[6875, 6951, 6949, 5808, 6729, 511461]"
u102467,"[7306, 7877, 5010, 6052, 5979, 513117]"
u104746,"[324109, 324525, 323586, 324491, 322207, 473122]"
u106198,"[323434, 324193, 323377, 322650, 322216, 2894]"
u102319,"[6784, 5459, 6423, 6145, 5581, 487676]"
u102510,"[6082, 6690, 7537, 6538, 7176, 488317]"
u105371,"[293070, 294861, 295284, 295220, 293917, 2308]"
u107524,"[323028, 323232, 323231, 324114, 322602, 470832]"
u103423,"[321914, 322319, 322074, 324497, 323359, 472447]"
u101540,"[5329, 5976, 6650, 7259, 6890, 495343]"
u105628,"[294316, 294327, 294859, 293932, 295067, 2599]"
u106848,"[323397, 322705, 322393, 323773, 322881, 613]"
u108471,"[2522, 813, 3159, 1785, 2793, 324170]"
u102045,"[7190, 6185, 7607, 5223, 5230, 513300]"
u105260,"[294463, 294877, 293889, 292722, 293295, 1178]"
u101450,"[5375, 7215, 6457, 5387, 5328, 486948]"
u102597,"[7812, 6267, 5517, 4963, 6960, 512927]"
u103830,"[323340, 324676, 322966, 324555, 321933, 473052]"
u105499,"[293549, 293962, 295007, 292891, 295341, 1742]"
u107043,"[322587, 324572, 322535, 322937, 322216, 189]"
u105560,"[295102, 294525, 295127, 293129, 295129, 3280]"
u103420,"[324666, 324728, 322827, 322944, 322875, 519873]"
u102058,"[6030, 6352, 7053, 7417, 6373, 487351]"
u102346,"[5786, 6457, 5089, 7361, 6081, 488418]"
u108809,"[3471, 692, 729, 1042, 2179, 324686]"
u105252,"[294763, 293317, 292715, 294957, 294812, 1033]"
u102993,"[7345, 5281, 6391, 5567, 7878, 513404]"
u106504,"[323381, 324395, 322177, 322058, 322677, 2888]"
u102362,"[6990, 7376, 6433, 6799, 6264, 495479]"
u108142,"[1037, 1750, 845, 2633, 2528, 324260]"
u103447,"[324497, 323988, 323307, 323981, 322059, 473440]"
u107291,"[321880, 321990, 322456, 322083, 322221, 397]"
u107619,"[322467, 324590, 324150, 322638, 322534, 471393]"
u106993,"[324546, 323782, 322598, 323981, 322231, 3297]"
u105767,"[293432, 293861, 293230, 294494, 290111, 1000]"
u107115,"[324469, 323381, 322537, 323027, 322785, 472063]"
u102990,"[7886, 6979, 5501, 6810, 6967, 487544]"
u105375,"[294444, 290194, 292736, 292732, 293325, 3261]"
u107852,"[322284, 323739, 322440, 321865, 324442, 493]"
u106567,"[322722, 323891, 323879, 322459, 324198, 1470]"
u104375,"[324285, 323079, 322286, 321972, 322027, 520309]"
u102966,"[7452, 5269, 5105, 7684, 5749, 487757]"
u101894,"[5812, 6662, 5866, 5497, 7522, 488013]"
u108068,"[1532, 2140, 1502, 2771, 836, 324036]"
u103335,"[323175, 322368, 322825, 323489, 4, 472701]"
u107653,"[323682, 324391, 324573, 323852, 324625, 471890]"
u103598,"[322944, 323051, 67, 322092, 322852, 473866]"
u103865,"[321941, 323843, 322917, 324445, 322673, 473091]"
u105016,"[293473, 294505, 292963, 294421, 292783, 3148]"
u106353,"[322028, 322191, 324443, 323479, 323966, 754]"
u103641,"[323167, 323566, 322553, 323498, 323780, 473644]"
u102073,"[6636, 6877, 4993, 5851, 7253, 512707]"
u104684,"[323973, 322853, 324140, 322525, 322241, 473395]"
u107623,"[321852, 324121, 322484, 324013, 322636, 470507]"
u108682,"[2697, 1957, 2431, 1711, 2820, 323711]"
u101763,"[5195, 5571, 6281, 6001, 5398, 488073]"
u106838,"[323859, 324267, 324420, 322763, 323018, 860]"
u108563,"[3192, 2718, 1702, 1585, 3549, 324267]"
u103149,"[323683, 324593, 323688, 324436, 322955, 473450]"
u106271,"[324637, 323057, 35, 323888, 322609, 841]"
u107088,"[324310, 322428, 323805, 322751, 323233, 471370]"
u108199,"[2564, 1303, 3397, 2139, 2905, 322050]"
u107807,"[324287, 324632, 323177, 322679, 323600, 247]"
u102501,"[5584, 7056, 6967, 4934, 7868, 487655]"
u102740,"[7648, 6127, 5767, 7169, 6694, 488346]"
u102731,"[6337, 5423, 5135, 7245, 5649, 511620]"
u101447,"[6855, 7657, 6999, 6117, 7125, 495449]"
u101562,"[6734, 5436, 5427, 5981, 7096, 487323]"
u104219,"[324131, 323258, 323899, 323120, 322259, 473954]"
u101907,"[6224, 7711, 7666, 4941, 5498, 513018]"
u101271,"[5782, 5656, 5039, 5615, 7733, 513114]"
u101220,"[5787, 6546, 6069, 7119, 5866, 487672]"
u104904,"[324722, 323463, 323586, 324476, 324600, 473169]"
u107256,"[322787, 324725, 323728, 322412, 324319, 470832]"
u107300,"[323403, 322832, 323740, 323000, 322601, 472242]"
u101847,"[6773, 6241, 6740, 5455, 5302, 486992]"
u101086,"[5964, 5520, 6913, 5961, 7826, 512935]"
u101056,"[7355, 4956, 6164, 6642, 6579, 495404]"
u107379,"[323838, 323951, 323692, 322592, 324169, 474573]"
u107825,"[322314, 322152, 323920, 324674, 324706, 470472]"
u107947,"[323567, 323272, 322377, 322745, 321950, 399]"
u106042,"[323347, 324107, 323872, 324077, 324486, 2230]"
u105307,"[294890, 293442, 294836, 293984, 293661, 2334]"
u103253,"[322702, 321849, 60, 322127, 324165, 473318]"
u103747,"[323256, 322278, 321842, 323114, 323514, 533206]"
u105840,"[290069, 293250, 294700, 293464, 294114, 732]"
u108021,"[1236, 2594, 3508, 3127, 2408, 322377]"
u107559,"[322562, 324460, 324669, 324576, 324256, 471369]"
u108204,"[2817, 2255, 786, 782, 2287, 321908]"
u102861,"[6150, 6193, 6431, 7743, 5019, 511634]"
u108118,"[1929, 1134, 3522, 1144, 1053, 323633]"
u107141,"[324198, 322015, 322283, 323715, 322869, 474689]"
u104237,"[324279, 322112, 324411, 323906, 321904, 472786]"
u101999,"[7111, 7882, 6943, 5687, 7609, 513295]"
u108778,"[3465, 2299, 2208, 2030, 3246, 323637]"
u106260,"[322782, 322097, 323104, 323431, 322679, 936]"
u104575,"[323199, 323392, 324439, 322200, 324004, 473751]"
u101908,"[6779, 5664, 7525, 6675, 7550, 487092]"
u107488,"[324417, 322495, 324111, 322682, 322953, 471688]"
u103885,"[322565, 322631, 322051, 324680, 322786, 473091]"
u103838,"[323417, 322132, 322951, 324205, 321882, 473058]"
u102238,"[6041, 4942, 5198, 6137, 7465, 513048]"
u103677,"[324347, 323997, 322804, 323421, 323939, 512912]"
u104447,"[85, 323368, 322657, 322634, 323289, 473092]"
u107335,"[322281, 324203, 322529, 323325, 323938, 471395]"
u102292,"[6764, 7184, 7456, 6150, 7015, 487079]"
u107699,"[324067, 323673, 50, 323040, 322410, 471409]"
u107923,"[322222, 323148, 324077, 323005, 322711, 280]"
u104548,"[323488, 323805, 322040, 324595, 322697, 530506]"
u107419,"[324223, 322210, 321925, 324270, 322069, 474329]"
u102645,"[6331, 6314, 6832, 4898, 7787, 513129]"
u103545,"[321888, 322712, 324758, 324521, 323610, 473445]"
u102580,"[6823, 6763, 7512, 7374, 6429, 512647]"
u101966,"[5509, 6403, 7691, 6957, 5034, 513171]"
u108569,"[3489, 1786, 1648, 2045, 1662, 322402]"
u101652,"[7601, 6128, 5244, 5465, 7580, 511301]"
u101194,"[6579, 7577, 5595, 6437, 6506, 512824]"
u106868,"[322072, 322679, 323497, 42, 322850, 2505]"
u107512,"[323294, 322772, 323052, 322657, 324610, 472175]"
u106034,"[323334, 322968, 323406, 322016, 324148, 3156]"
u102024,"[5569, 5323, 7510, 6280, 6873, 513189]"
u104795,"[322329, 322138, 323545, 321881, 324105, 531940]"
u103794,"[322827, 323534, 323524, 321845, 323031, 473132]"
u108376,"[919, 628, 1900, 3049, 1974, 323059]"
u108999,"[1910, 1466, 1622, 1761, 2652, 322271]"
u106403,"[324394, 322548, 324615, 322953, 322330, 1939]"
u105971,"[294449, 294524, 293058, 295267, 295203, 1759]"
u108638,"[3000, 3408, 813, 3165, 2588, 323696]"
u103752,"[322102, 323102, 323923, 323437, 323420, 474067]"
u101809,"[7099, 7370, 5185, 6032, 6414, 488295]"
u104221,"[323373, 323168, 324009, 322058, 323813, 472866]"
u102681,"[5547, 5070, 7321, 6429, 7696, 487814]"
u101983,"[4966, 6290, 7285, 7013, 6975, 512805]"
u102265,"[5292, 6048, 7288, 6945, 5673, 513374]"
u102866,"[6472, 7313, 5129, 6287, 7060, 495321]"
u106378,"[324271, 323061, 322947, 323846, 323282, 1484]"
u108028,"[2315, 1595, 2100, 1175, 1359, 321937]"
u108940,"[2216, 3102, 2707, 994, 3407, 324055]"
u107204,"[322646, 323929, 321910, 323315, 324160, 471858]"
u107288,"[324115, 322658, 324082, 324552, 323910, 474558]"
u103547,"[324381, 322458, 324302, 324752, 322744, 473298]"
u102046,"[5837, 5257, 7778, 5167, 5852, 495467]"
u104879,"[322081, 322981, 34, 323054, 323972, 472994]"
u104776,"[324231, 322013, 324733, 323539, 322527, 147]"
u102830,"[5144, 5275, 7246, 4996, 5539, 513387]"
u107869,"[322218, 324431, 324200, 324660, 322585, 471649]"
u108403,"[2233, 2812, 3030, 1949, 3015, 323870]"
u104017,"[322070, 324738, 324258, 322999, 323027, 473647]"
u101609,"[6745, 5465, 5733, 5646, 7490, 487213]"
u105220,"[295301, 293896, 295275, 293945, 292742, 1963]"
u102643,"[6723, 6366, 5567, 5691, 7736, 512975]"
u104140,"[322820, 323429, 323978, 323498, 323355, 473594]"
u106559,"[322217, 321968, 322502, 324413, 323627, 815]"
u104414,"[323745, 323103, 323784, 323374, 324704, 531105]"
u103780,"[324206, 322032, 66, 323921, 322227, 473127]"
u104738,"[323765, 323060, 324354, 322500, 324397, 472638]"
u104524,"[323893, 324498, 323747, 324609, 322643, 472612]"
u104762,"[323579, 323031, 321995, 322397, 323904, 532818]"
u107104,"[324432, 321953, 324187, 323662, 323423, 471649]"
u105994,"[294806, 294110, 292709, 294077, 293979, 2210]"
u104978,"[322152, 324576, 322648, 323468, 324523, 472930]"
u102563,"[6724, 5894, 6244, 6102, 5240, 495470]"
u107974,"[322889, 323656, 322481, 323430, 322147, 474599]"
u108882,"[1099, 2249, 2026, 2459, 2609, 322511]"
u102422,"[7892, 6544, 6079, 7245, 7001, 512841]"
u105468,"[293352, 293297, 292794, 292791, 294358, 2687]"
u104988,"[323381, 322932, 323056, 323387, 322263, 532200]"
u101269,"[6719, 5447, 6365, 6720, 6208, 513334]"
u102117,"[7121, 7499, 6255, 7535, 7448, 495537]"
u101563,"[7033, 5614, 6467, 5559, 7569, 511578]"
u102885,"[7187, 6855, 6337, 7824, 7577, 512776]"
u107295,"[323476, 322933, 324161, 323455, 322590, 470987]"
u102065,"[7310, 5312, 6113, 7288, 7401, 487033]"
u101213,"[5453, 7188, 5558, 7389, 7040, 512999]"
u108463,"[876, 3042, 1076, 3292, 2951, 324393]"
u107400,"[322449, 321840, 322881, 324263, 322223, 470582]"
u107803,"[321849, 323395, 323728, 324070, 323179, 470410]"
u108541,"[1327, 2371, 2325, 1089, 2493, 324585]"
u107692,"[324463, 323380, 321844, 322133, 322417, 471152]"
u108788,"[2957, 1703, 693, 1808, 2330, 322549]"
u105498,"[293155, 292914, 293962, 293379, 295145, 2383]"
u105528,"[290046, 294380, 293375, 294483, 295010, 1411]"
u108760,"[2043, 2614, 814, 791, 3240, 322970]"
u107462,"[322802, 323008, 322175, 324287, 322356, 404]"
u103986,"[324361, 322149, 324032, 322791, 322138, 473115]"
u108526,"[3007, 2873, 2111, 1902, 1709, 323635]"
u102972,"[6106, 5312, 7184, 6884, 6261, 512741]"
u108923,"[838, 772, 2125, 3508, 1912, 324250]"
u105447,"[293123, 294981, 293846, 294100, 292883, 1175]"
u108149,"[2911, 602, 1511, 903, 2208, 324599]"
u103038,"[322350, 322287, 322540, 322292, 323842, 472782]"
u108000,"[3027, 1729, 3261, 2140, 2711, 322555]"
u104107,"[58, 324572, 322499, 323583, 322231, 473545]"
u101109,"[6367, 6522, 5523, 6483, 6376, 487979]"
u102953,"[7261, 7455, 7296, 6466, 6238, 487072]"
u102736,"[7643, 4928, 7677, 6218, 5428, 487165]"
u102081,"[7008, 5884, 7055, 6969, 6220, 488248]"
u101410,"[6776, 7871, 7608, 7570, 4945, 488371]"
u108615,"[1743, 1427, 2520, 1212, 3257, 323611]"
u101284,"[5099, 7777, 7532, 7089, 5060, 512762]"
u104325,"[324094, 322714, 324166, 324024, 324474, 473567]"
u102116,"[7555, 5227, 5168, 5643, 4988, 487347]"
u101053,"[6243, 5931, 7270, 7802, 5692, 487765]"
u106347,"[323303, 322929, 324324, 322666, 323556, 2260]"
u102506,"[5407, 5472, 6023, 5930, 7825, 487271]"
u106638,"[324745, 324308, 321906, 321946, 323232, 2646]"
u103095,"[322025, 324249, 323054, 323833, 323461, 530301]"
u103165,"[323257, 322601, 324697, 324514, 322925, 473906]"
u103557,"[322483, 323645, 324597, 324008, 323801, 529836]"
u107565,"[323263, 322366, 323840, 323732, 324244, 471313]"
u104291,"[323472, 324363, 323102, 322867, 321870, 513419]"
u104830,"[323228, 323144, 323492, 324220, 322903, 472553]"
u108981,"[2437, 2258, 2654, 3293, 3503, 322324]"
u101002,"[5855, 5581, 5690, 6102, 7483, 513063]"
u105343,"[294850, 292918, 293339, 295068, 295064, 1320]"
u108948,"[1251, 2910, 1711, 2004, 3490, 322024]"
u108572,"[1217, 1988, 3503, 623, 2547, 323662]"
u102845,"[5865, 5418, 6402, 7618, 7517, 487685]"
u106762,"[322264, 323371, 78, 323751, 322715, 1297]"
u101645,"[6891, 7390, 6310, 5299, 6280, 487825]"
u103033,"[323583, 323569, 324116, 323932, 324079, 473996]"
u101040,"[7807, 7848, 7870, 6624, 7834, 495483]"
u106939,"[323855, 323450, 322674, 323475, 324748, 2627]"
u104184,"[323523, 98, 323463, 324527, 322462, 532664]"
u105845,"[290135, 293812, 294254, 293697, 294761, 1681]"
u102641,"[7325, 6831, 5588, 7592, 5518, 488078]"
u103300,"[324258, 322473, 324039, 321894, 323053, 472605]"
u106493,"[322747, 322396, 321936, 323877, 323845, 3517]"
u103409,"[33, 324443, 324043, 324208, 323660, 472400]"
u104568,"[323321, 323166, 323341, 324100, 321991, 520179]"
u105038,"[293058, 293180, 293266, 290148, 290108, 1581]"
u107019,"[321977, 323931, 322760, 323203, 322423, 472144]"
u104075,"[321950, 323910, 324654, 322300, 323817, 473968]"
u105806,"[293656, 294021, 293013, 290231, 293468, 1437]"
u104340,"[322947, 322189, 322047, 323299, 322563, 472454]"
u108707,"[3165, 1112, 1298, 3305, 3415, 323052]"
u106807,"[322816, 324529, 322449, 323193, 322236, 796]"
u102348,"[6198, 7654, 5717, 7247, 5950, 487631]"
u105179,"[295273, 292715, 294650, 294344, 293848, 3324]"
u101807,"[6965, 7386, 6053, 7600, 5528, 512911]"
u106845,"[323965, 322578, 323162, 322494, 322032, 2388]"
u103362,"[322170, 322937, 321898, 322653, 324565, 472706]"
u101379,"[6510, 7258, 7028, 7326, 6690, 487851]"
u105381,"[295006, 294533, 294562, 295038, 295231, 2903]"
u106560,"[323621, 323655, 322787, 322183, 322011, 1942]"
u103661,"[70, 321975, 324610, 54, 322507, 531623]"
u101161,"[7416, 5113, 5173, 5507, 5581, 488343]"
u103440,"[324046, 323400, 323243, 324753, 324432, 472341]"
u108466,"[1074, 591, 1495, 3517, 3191, 323855]"
u103526,"[322625, 322796, 322866, 321931, 321992, 136]"
u102448,"[6423, 7437, 6452, 7697, 6291, 487953]"
u103749,"[323318, 323027, 322469, 323102, 323618, 532319]"
u101719,"[6712, 6561, 5834, 5673, 6385, 487009]"
u102943,"[5280, 6246, 6654, 6650, 6081, 487083]"
u106389,"[324000, 323454, 322654, 322267, 323964, 865]"
u105776,"[295159, 292968, 293415, 292889, 294740, 2204]"
u107819,"[323383, 323951, 323954, 323492, 323482, 471977]"
u105020,"[294069, 294521, 292857, 294229, 292960, 2418]"
u102160,"[5085, 7795, 7684, 4957, 6718, 495469]"
u107603,"[321942, 322385, 322016, 323740, 321865, 471480]"
u106702,"[322951, 322074, 322780, 321965, 323220, 3255]"
u106522,"[322696, 324621, 324699, 323562, 324185, 1422]"
u105366,"[295009, 290103, 290220, 293008, 293337, 2415]"
u105369,"[293845, 292962, 290062, 290208, 294287, 3556]"
u104911,"[324426, 323178, 323154, 321877, 323833, 472869]"
u101912,"[5909, 5456, 5067, 7183, 5799, 488044]"
u102903,"[6739, 4992, 7403, 6798, 5044, 487942]"
u105339,"[293093, 295025, 294039, 294204, 295355, 1376]"
u105573,"[293607, 293420, 295111, 293787, 295071, 2238]"
u102496,"[6713, 7362, 6740, 5417, 7638, 487727]"
u102935,"[6916, 7169, 6201, 6454, 7599, 487317]"
u101058,"[5304, 4961, 6697, 6124, 7542, 512667]"
u107077,"[323817, 323792, 321920, 323496, 324294, 472241]"
u106566,"[322732, 323693, 322182, 324760, 322914, 1172]"
u103950,"[322657, 323898, 322210, 322599, 322757, 472739]"
u102584,"[7480, 5356, 6311, 5657, 6280, 488009]"
u105569,"[293254, 295357, 293059, 293059, 293546, 1161]"
u104925,"[324239, 323093, 322873, 324470, 324390, 520309]"
u104176,"[323188, 322977, 323583, 323180, 323060, 473771]"
u106836,"[323276, 322120, 81, 323126, 323070, 2710]"
u104669,"[324024, 323600, 324328, 323682, 323468, 533621]"
u102187,"[6956, 7881, 6618, 6164, 7278, 512867]"
u106893,"[322942, 323103, 324726, 322409, 322774, 2856]"
u105025,"[294021, 294854, 293267, 293423, 293284, 3196]"
u104222,"[323762, 324621, 321933, 322833, 322766, 473051]"
u103364,"[322954, 324334, 323248, 324089, 322011, 473660]"
u105010,"[293943, 294641, 294622, 292849, 293765, 2783]"
u104957,"[324454, 322575, 324759, 324606, 322679, 472875]"
u104272,"[35, 323290, 322160, 324568, 323907, 473041]"
u103481,"[324043, 322958, 324030, 323963, 322664, 513646]"
